service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20230816,20231101
Daily-2,1,1,1,1,1,1,1,20230816,20230818
ExFri-1,1,1,1,1,0,1,1,20230816,20230818
ExSat-1,1,1,1,1,1,0,1,20230816,20231101
ExSun-1,1,1,1,1,1,1,0,20230816,20231101
FriSat-1,0,0,0,0,1,1,0,20230816,20231101
FriSat-2,0,0,0,0,1,1,0,20230816,20231101
FriSat-3,0,0,0,0,1,1,0,20230816,20230818
FriSatSun-1,0,0,0,0,1,1,1,20230816,20231101
Friday-1,0,0,0,0,1,0,0,20230816,20231101
Friday-2,0,0,0,0,1,0,0,20230816,20231101
Friday-3,0,0,0,0,1,0,0,20230816,20231101
Friday-4,0,0,0,0,1,0,0,20230819,20231101
Other-1,0,0,0,0,0,0,0,20230816,20231101
Other-10,0,0,0,0,0,0,0,20230816,20231101
Other-11,0,0,0,0,0,0,0,20230816,20231101
Other-12,0,0,0,0,0,0,0,20230816,20231101
Other-13,0,0,0,0,0,0,0,20230816,20231101
Other-14,0,0,0,0,0,0,0,20230816,20231101
Other-15,0,0,0,0,0,0,0,20230816,20231101
Other-16,0,0,0,0,0,0,0,20230816,20231101
Other-17,0,0,0,0,0,0,0,20230819,20231101
Other-18,0,0,0,0,0,0,0,20230819,20231101
Other-19,0,0,0,0,0,0,0,20230819,20231101
Other-2,0,0,0,0,0,0,0,20230816,20231101
Other-20,0,0,0,0,0,0,0,20230819,20230827
Other-21,0,0,0,0,0,0,0,20230819,20231101
Other-22,0,0,0,0,0,0,0,20230819,20231101
Other-23,0,0,0,0,0,0,0,20230819,20230827
Other-24,0,0,0,0,0,0,0,20230819,20231101
Other-25,0,0,0,0,0,0,0,20230819,20230827
Other-3,0,0,0,0,0,0,0,20230816,20231101
Other-4,0,0,0,0,0,0,0,20230816,20231101
Other-5,0,0,0,0,0,0,0,20230816,20231101
Other-6,0,0,0,0,0,0,0,20230816,20231101
Other-7,0,0,0,0,0,0,0,20230816,20231101
Other-8,0,0,0,0,0,0,0,20230816,20231101
Other-9,0,0,0,0,0,0,0,20230816,20231101
Saturday-1,0,0,0,0,0,1,0,20230816,20231101
Saturday-2,0,0,0,0,0,1,0,20230816,20231101
Saturday-3,0,0,0,0,0,1,0,20230816,20231101
Saturday-4,0,0,0,0,0,1,0,20230816,20231101
Sunday-1,0,0,0,0,0,0,1,20230816,20231101
Sunday-2,0,0,0,0,0,0,1,20230816,20231101
Sunday-3,0,0,0,0,0,0,1,20230816,20231101
Thursday-1,0,0,0,1,0,0,0,20230816,20231101
Wednesday-1,0,0,1,0,0,0,0,20230816,20231101
Wednesday-2,0,0,1,0,0,0,0,20230816,20231101
Weekday-1,1,1,1,1,1,0,0,20230816,20231101
Weekday-2,1,1,1,1,1,0,0,20230816,20231101
Weekday-3,1,1,1,1,1,0,0,20230816,20231101
Weekday-4,1,1,1,1,1,0,0,20230819,20231101
Weekday-5,1,1,1,1,1,0,0,20230816,20231101
Weekday-6,1,1,1,1,1,0,0,20230816,20231101
Weekend-1,0,0,0,0,0,1,1,20230816,20231101
Weekend-2,0,0,0,0,0,1,1,20230816,20231101
Weekend-3,0,0,0,0,0,1,1,20230816,20231101
Weekend-4,0,0,0,0,0,1,1,20230816,20231101
Weekend-5,0,0,0,0,0,1,1,20230816,20231101
WkExFri-1,1,1,1,1,0,0,0,20230816,20231101
WkExFri-2,1,1,1,1,0,0,0,20230819,20231101
WkExFri-3,1,1,1,1,0,0,0,20230819,20231101
