service_id,date,exception_type
ExSun-1,20231023,2
FriSat-1,20230825,2
FriSat-1,20230826,2
FriSat-1,20230909,2
FriSatSun-1,20231023,1
Friday-1,20230825,2
Friday-3,20230901,2
Friday-3,20231006,2
Friday-3,20231020,2
Other-1,20230826,1
Other-1,20230827,1
Other-1,20230909,1
Other-1,20230910,1
Other-10,20230925,1
Other-10,20230926,1
Other-10,20230927,1
Other-10,20230928,1
Other-10,20230929,1
Other-10,20231002,1
Other-10,20231003,1
Other-10,20231004,1
Other-10,20231005,1
Other-10,20231006,1
Other-11,20230903,1
Other-11,20231008,1
Other-11,20231023,1
Other-12,20230901,1
Other-12,20231006,1
Other-12,20231020,1
Other-12,20231021,1
Other-12,20231022,1
Other-13,20231021,1
Other-13,20231022,1
Other-14,20231021,1
Other-14,20231022,1
Other-14,20231023,1
Other-15,20230903,1
Other-15,20231008,1
Other-15,20231021,1
Other-15,20231022,1
Other-15,20231023,1
Other-16,20230901,1
Other-16,20231006,1
Other-16,20231020,1
Other-17,20230821,1
Other-17,20230822,1
Other-17,20230823,1
Other-17,20230824,1
Other-17,20230828,1
Other-17,20230829,1
Other-17,20230830,1
Other-17,20230831,1
Other-18,20230820,1
Other-18,20230826,1
Other-18,20230827,1
Other-18,20230903,1
Other-19,20230819,1
Other-19,20230902,1
Other-2,20230825,1
Other-2,20230826,1
Other-2,20230827,1
Other-2,20230909,1
Other-2,20230910,1
Other-20,20230826,1
Other-21,20230820,1
Other-21,20230827,1
Other-21,20230903,1
Other-22,20230819,1
Other-22,20230820,1
Other-22,20230902,1
Other-22,20230903,1
Other-23,20230826,1
Other-23,20230827,1
Other-24,20230820,1
Other-24,20230903,1
Other-25,20230827,1
Other-3,20230825,1
Other-3,20230826,1
Other-3,20230909,1
Other-4,20230825,1
Other-5,20230819,1
Other-5,20230820,1
Other-5,20230826,1
Other-5,20230827,1
Other-5,20230902,1
Other-5,20230903,1
Other-6,20230819,1
Other-6,20230826,1
Other-6,20230902,1
Other-7,20230819,1
Other-7,20230820,1
Other-7,20230821,1
Other-7,20230822,1
Other-7,20230823,1
Other-7,20230824,1
Other-7,20230826,1
Other-7,20230827,1
Other-7,20230828,1
Other-7,20230829,1
Other-7,20230830,1
Other-7,20230831,1
Other-7,20230902,1
Other-7,20230903,1
Other-7,20230904,1
Other-7,20230905,1
Other-7,20230906,1
Other-7,20230907,1
Other-7,20230910,1
Other-7,20230911,1
Other-7,20230912,1
Other-7,20230913,1
Other-7,20230914,1
Other-8,20230819,1
Other-8,20230820,1
Other-8,20230826,1
Other-8,20230827,1
Other-8,20230902,1
Other-8,20230903,1
Other-8,20230910,1
Other-9,20230819,1
Other-9,20230821,1
Other-9,20230822,1
Other-9,20230823,1
Other-9,20230824,1
Other-9,20230826,1
Other-9,20230828,1
Other-9,20230829,1
Other-9,20230830,1
Other-9,20230831,1
Other-9,20230902,1
Other-9,20230904,1
Other-9,20230905,1
Other-9,20230906,1
Other-9,20230907,1
Other-9,20230911,1
Other-9,20230912,1
Other-9,20230913,1
Other-9,20230914,1
Saturday-2,20230826,2
Saturday-2,20230909,2
Saturday-3,20230826,2
Saturday-4,20230819,2
Saturday-4,20230826,2
Saturday-4,20230902,2
Sunday-1,20231023,1
Sunday-2,20230903,2
Sunday-2,20231008,2
Sunday-2,20231022,2
Sunday-3,20231023,1
Sunday-3,20230820,2
Sunday-3,20230827,2
Sunday-3,20230903,2
Wednesday-1,20230818,1
Wednesday-1,20230901,1
Wednesday-1,20230915,1
Wednesday-1,20231006,1
Wednesday-1,20231020,1
Wednesday-2,20230818,1
Wednesday-2,20230915,1
Wednesday-2,20231023,1
Weekday-1,20231023,2
Weekday-2,20230825,2
Weekday-2,20231023,2
Weekday-3,20230925,2
Weekday-3,20230926,2
Weekday-3,20230927,2
Weekday-3,20230928,2
Weekday-3,20230929,2
Weekday-3,20231002,2
Weekday-3,20231003,2
Weekday-3,20231004,2
Weekday-3,20231005,2
Weekday-3,20231006,2
Weekday-3,20231023,2
Weekday-4,20231023,2
Weekday-5,20230818,2
Weekday-5,20231023,2
Weekday-6,20230821,2
Weekday-6,20230822,2
Weekday-6,20230823,2
Weekday-6,20230824,2
Weekday-6,20230828,2
Weekday-6,20230829,2
Weekday-6,20230830,2
Weekday-6,20230831,2
Weekday-6,20231023,2
Weekend-1,20231023,1
Weekend-2,20231023,1
Weekend-2,20230826,2
Weekend-2,20230827,2
Weekend-2,20230909,2
Weekend-2,20230910,2
Weekend-3,20230925,1
Weekend-3,20230926,1
Weekend-3,20230927,1
Weekend-3,20230928,1
Weekend-3,20230929,1
Weekend-3,20231002,1
Weekend-3,20231003,1
Weekend-3,20231004,1
Weekend-3,20231005,1
Weekend-3,20231006,1
Weekend-3,20231023,1
Weekend-4,20231023,1
Weekend-4,20230826,2
Weekend-4,20230827,2
Weekend-5,20231023,1
Weekend-5,20230819,2
Weekend-5,20230820,2
Weekend-5,20230826,2
Weekend-5,20230827,2
Weekend-5,20230902,2
Weekend-5,20230903,2
WkExFri-1,20231023,2
WkExFri-2,20231023,2
WkExFri-3,20230821,2
WkExFri-3,20230822,2
WkExFri-3,20230823,2
WkExFri-3,20230824,2
WkExFri-3,20230828,2
WkExFri-3,20230829,2
WkExFri-3,20230830,2
WkExFri-3,20230831,2
WkExFri-3,20231023,2
